venue_id,venue_name,venue_category,full_address,website,contact_known,naics_code,data_source
VEN-062,Kojack's Poker Club,Poker / Card Club,"3205 W Cuthbert Ave, Midland, Texas 79701",kojackspokerclub.com,False,,accounts_only|research
VEN-063,Krazy Kopz Charity Room,Casino,"38250 Ford Rd, Westland, Michigan, 48185, United States",krazykopzpoker.com,True,713210.0,zoominfo
VEN-064,Last Frontier Casino,Casino,"105 W 4th St, La Center, Washington, 98629, United States",lastfrontiercasino.com,True,713210.0,zoominfo
VEN-066,Livermore Casino,Casino,"3571 1st St, Livermore, California, 94551, United States",livermorecasino.net,True,713210.0,zoominfo
VEN-068,Lucky Card Club Austin,Poker / Card Club,"12233 N FM 620, Austin, Texas 78750",luckycardclubaustin.com,False,,accounts_only|research
VEN-069,Lucky Chances,Casino,"1700 Hillside Blvd, Colma, California, 94014, United States",luckychances.com,True,713210.0,zoominfo
VEN-071,Medford Social Club Poker Room,Poker / Card Club,"322 E Main St, Medford, Oregon 97501",medford.poker,False,,accounts_only|research
VEN-072,Morongo Casino Resort & Spa,Casino Hotel,"49750 Seminole Dr, Cabazon, California, 92230, United States",morongocasinoresort.com,True,713950.0,zoominfo
VEN-073,Napa Valley Casino,Casino,"3466 Broadway St, American Canyon, California 94503",napavalleycasino.com,False,,accounts_only|research
VEN-075,No Look Poker Club,Poker / Card Club,"2990 N Pacific Hwy, Medford, Oregon 97501",nolookpokerroom.com,False,,accounts_only|research
VEN-076,Oaks Card Club,Poker / Card Club,"4097 San Pablo Ave, Emeryville, California, 94608, United States",oakscardclub.com,True,722410.0,zoominfo
VEN-077,Oceanview Casino,Casino,"709 Pacific Ave, Santa Cruz, California, 95060, United States",oceanviewcasino.com,True,713290.0,zoominfo
VEN-078,Old Cayucos Tavern Card Room,Poker / Card Club,"130 N Ocean Ave, Cayucos, California, 93430, United States",oldcayucostavern.com,True,722410.0,zoominfo
VEN-080,One-Eyed Jack's Poker Room,Poker / Card Club,"4601 S Kirkman Rd, Orlando, Florida, 32811, United States",oneeyedjacksmarion.com,True,611110.0,zoominfo
VEN-082,Paiute Palace Casino,Casino Hotel,"2742 N Sierra Hwy, Bishop, California, 93514, United States",wanaaha.com,True,721120.0,zoominfo
VEN-083,Palace Poker Casino,Casino,"22821 Mission Blvd, Hayward, California, 94541, United States",thepalacepokercasino.com,True,713210.0,zoominfo
